"","cps19_age","cps19_gender","cps19_education","pes19_votechoice2019"
"267",63,"A woman","Bachelor's degree","Liberal Party"
"268",52,"A woman","Completed secondary/ high school","NDP"
"269",77,"A man","Master's degree","Liberal Party"
"270",53,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"271",56,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"272",60,"A woman","Bachelor's degree","Liberal Party"
"273",40,"A man","Completed technical, community college, CEGEP, College Classique","Green Party"
"274",29,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"275",76,"A woman","Some university","Liberal Party"
"276",28,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"277",63,"A man","Bachelor's degree","Conservative Party"
"278",68,"A man","Some secondary/ high school","Liberal Party"
"279",67,"A woman","Completed secondary/ high school","Liberal Party"
"280",67,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"281",62,"A man","Bachelor's degree","Green Party"
"282",36,"A woman","Bachelor's degree","Liberal Party"
"283",71,"A woman","Some university","NDP"
"284",57,"A woman","Some secondary/ high school","Conservative Party"
"285",63,"A man","Bachelor's degree","Liberal Party"
"286",87,"A man","Professional degree or doctorate","Conservative Party"
"287",44,"A woman","Professional degree or doctorate","Conservative Party"
"288",46,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"289",50,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"290",55,"A woman","Completed secondary/ high school","Liberal Party"
"291",48,"A man","Bachelor's degree","Conservative Party"
"292",48,"A woman","Bachelor's degree","Liberal Party"
"293",48,"A woman","Completed secondary/ high school","Liberal Party"
"294",73,"A woman","Bachelor's degree","Conservative Party"
"295",66,"A man","Bachelor's degree","Liberal Party"
"296",29,"A man","Bachelor's degree","Liberal Party"
"297",25,"A woman","Bachelor's degree","Conservative Party"
"298",51,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"299",59,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"300",65,"A woman","Master's degree","Conservative Party"
"301",45,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"302",38,"A man","Bachelor's degree","Liberal Party"
"303",57,"A woman","Completed secondary/ high school","NDP"
"304",46,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"305",77,"A man","Completed secondary/ high school","Conservative Party"
"306",29,"A woman","Bachelor's degree","Liberal Party"
"307",32,"A man","Bachelor's degree","Another party (specify)"
"308",55,"A woman","Some university","Liberal Party"
"309",26,"A man","Completed secondary/ high school","People's Party"
"310",57,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"311",47,"A woman","Completed secondary/ high school","NDP"
"312",63,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"313",63,"A man","Master's degree","Liberal Party"
"314",81,"A man","Completed secondary/ high school","NDP"
"315",61,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"316",65,"A man","Some university","NDP"
"317",27,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"318",65,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed secondary/ high school","NDP"
"319",76,"A woman","Completed secondary/ high school","Conservative Party"
"320",77,"A man","Master's degree","Liberal Party"
"321",55,"A woman","Bachelor's degree","Conservative Party"
"322",60,"A woman","Bachelor's degree","Liberal Party"
"323",43,"A man","Bachelor's degree","Conservative Party"
"324",68,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"325",83,"A woman","Bachelor's degree","Liberal Party"
"326",70,"A woman","Bachelor's degree","Liberal Party"
"327",58,"A woman","Some university","Don't know / Prefer not to answer"
"328",52,"A woman","Bachelor's degree","Liberal Party"
"329",29,"A woman","Bachelor's degree","Conservative Party"
"330",58,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"331",59,"A woman","Some university","Liberal Party"
"332",72,"A woman","Bachelor's degree","Liberal Party"
"333",61,"A man","Bachelor's degree","Liberal Party"
"334",67,"A woman","Some university","Liberal Party"
"335",45,"A woman","Master's degree","Conservative Party"
"336",58,"A man","Some university","Green Party"
"337",59,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"338",65,"A man","Completed secondary/ high school","Conservative Party"
"339",29,"A woman","Some university","People's Party"
"340",55,"A woman","Completed elementary school","Liberal Party"
"341",49,"A man","Some secondary/ high school","Another party (specify)"
"342",67,"A woman","Completed secondary/ high school","Conservative Party"
"343",59,"A woman","Completed secondary/ high school","Liberal Party"
"344",81,"A man","Some university","NDP"
"345",62,"A woman","Bachelor's degree","Liberal Party"
"346",77,"A woman","Completed secondary/ high school","Conservative Party"
"347",69,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed secondary/ high school","Conservative Party"
"348",51,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"349",52,"A man","Completed secondary/ high school","Conservative Party"
"350",72,"A man","Master's degree","Conservative Party"
"351",67,"A man","Completed secondary/ high school","NDP"
"352",65,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"353",78,"A man","Master's degree","Liberal Party"
"354",57,"A woman","Completed secondary/ high school","Conservative Party"
"355",99,"A woman","Bachelor's degree","NDP"
"356",62,"A man","Completed secondary/ high school","Conservative Party"
"357",67,"A woman","Completed technical, community college, CEGEP, College Classique","Green Party"
"358",61,"A woman","Some university","NDP"
"359",61,"A woman","Completed secondary/ high school","Conservative Party"
"360",65,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"361",55,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"362",21,"A woman","Completed secondary/ high school","NDP"
"363",48,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"364",86,"A man","Some technical, community college, CEGEP, College Classique","Bloc Qu̩b̩cois"
"365",45,"A man","Master's degree","Liberal Party"
"366",54,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"367",55,"A woman","Completed elementary school","Conservative Party"
"368",38,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"369",43,"A man","Completed elementary school","NDP"
"370",66,"A man","Bachelor's degree","Conservative Party"
"371",72,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"372",74,"A woman","Master's degree","Liberal Party"
"373",39,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"374",61,"A man","Completed secondary/ high school","Conservative Party"
"375",37,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"376",74,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"377",69,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"378",43,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"379",68,"A woman","Completed secondary/ high school","Conservative Party"
"380",66,"A man","Bachelor's degree","Conservative Party"
"381",68,"A man","Completed secondary/ high school","Conservative Party"
"382",75,"A woman","Some university","Conservative Party"
"383",60,"A woman","Completed secondary/ high school","Liberal Party"
"384",65,"A woman","Completed secondary/ high school","NDP"
"385",65,"A woman","Bachelor's degree","Liberal Party"
"386",58,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"387",73,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"388",28,"A woman","Bachelor's degree","Liberal Party"
"389",71,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Some technical, community college, CEGEP, College Classique","Liberal Party"
"390",71,"A man","Some secondary/ high school","NDP"
"391",40,"A man","Master's degree","Conservative Party"
"392",75,"A man","Bachelor's degree","Liberal Party"
"393",71,"A woman","Some secondary/ high school","Conservative Party"
"394",51,"A woman","Bachelor's degree","Liberal Party"
"395",47,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"396",71,"A man","Bachelor's degree","Conservative Party"
"397",54,"A man","Professional degree or doctorate","NDP"
"398",66,"A woman","Bachelor's degree","Conservative Party"
"399",67,"A woman","Some university","Liberal Party"
"400",55,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"401",57,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"402",59,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"403",71,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"404",76,"A man","Some university","Liberal Party"
"405",27,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"406",65,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"407",68,"A woman","Completed elementary school","Liberal Party"
"408",58,"A woman","Some secondary/ high school","Liberal Party"
"409",37,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"410",57,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"411",38,"A woman","Completed secondary/ high school","Conservative Party"
"412",50,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"413",57,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"414",46,"A man","Bachelor's degree","Liberal Party"
"415",39,"A man","Bachelor's degree","Liberal Party"
"416",59,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"417",65,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"418",65,"A man","Some university","People's Party"
"419",68,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"420",54,"A woman","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"421",71,"A man","Master's degree","Conservative Party"
"422",32,"A woman","Some university","NDP"
"423",49,"A man","Some elementary school","Liberal Party"
"424",64,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"425",32,"A man","Professional degree or doctorate","Liberal Party"
"426",69,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"427",76,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"428",67,"A man","Completed secondary/ high school","Bloc Qu̩b̩cois"
"429",63,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"430",75,"A woman","Completed secondary/ high school","Conservative Party"
"431",74,"A woman","Bachelor's degree","Liberal Party"
"432",45,"A man","Bachelor's degree","Conservative Party"
"433",63,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"434",66,"A man","Some university","Green Party"
"435",60,"A woman","Bachelor's degree","NDP"
"436",56,"A man","Bachelor's degree","NDP"
"437",65,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"438",38,"A woman","Bachelor's degree","Conservative Party"
"439",70,"A man","Some university","Conservative Party"
"440",74,"A woman","Some university","Conservative Party"
"441",86,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"442",74,"A woman","Some university","NDP"
"443",38,"A man","Bachelor's degree","People's Party"
"444",54,"A man","Some university","NDP"
"445",51,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"446",66,"A woman","Bachelor's degree","NDP"
"447",71,"A man","Some secondary/ high school","NDP"
"448",54,"A woman","Master's degree","Conservative Party"
"449",55,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"450",63,"A woman","Bachelor's degree","Liberal Party"
"451",87,"A man","Bachelor's degree","Conservative Party"
"452",48,"A woman","Master's degree","Conservative Party"
"453",65,"A man","Bachelor's degree","NDP"
"454",65,"A man","Some university","Green Party"
"455",66,"A man","Bachelor's degree","Conservative Party"
"456",55,"A man","Bachelor's degree","Conservative Party"
"457",58,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"458",40,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"459",55,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"460",43,"A man","Bachelor's degree","Liberal Party"
"461",65,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"462",64,"A man","Bachelor's degree","Conservative Party"
"463",50,"A man","Bachelor's degree","Conservative Party"
"464",41,"A man","Some secondary/ high school","Liberal Party"
"465",61,"A man","Master's degree","NDP"
"466",66,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"467",61,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"468",56,"A man","Master's degree","Conservative Party"
"469",73,"A woman","Bachelor's degree","Conservative Party"
"470",63,"A woman","Bachelor's degree","NDP"
"471",36,"A man","Bachelor's degree","NDP"
"472",59,"A man","Bachelor's degree","Don't know / Prefer not to answer"
"473",58,"A man","Completed secondary/ high school","Green Party"
"474",41,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"475",55,"A woman","Completed secondary/ high school","Conservative Party"
